time,fitness,extraction,metabolic,population
5.750000000000000000e+05,1.150819772550575992e+00,1.072496469213179759e+00,9.322272310267620821e-01,5.100000000000000000e+01
5.800000000000000000e+05,1.151653807905322235e+00,1.073351529996013687e+00,9.322868716577458192e-01,5.200000000000000000e+01
5.850000000000000000e+05,1.151653807905322235e+00,1.073351529996013687e+00,9.322868716577458192e-01,5.200000000000000000e+01
5.900000000000000000e+05,1.152657569269764037e+00,1.074107522906119883e+00,9.321291903507428200e-01,5.100000000000000000e+01
5.950000000000000000e+05,1.153412337118254749e+00,1.074586215199186068e+00,9.319354091107505678e-01,5.200000000000000000e+01
6.000000000000000000e+05,1.153412337118254749e+00,1.074586215199186068e+00,9.319354091107505678e-01,5.200000000000000000e+01
6.050000000000000000e+05,1.153412337118254749e+00,1.074586215199186068e+00,9.319354091107505678e-01,5.200000000000000000e+01
6.100000000000000000e+05,1.153412337118254749e+00,1.074586215199186068e+00,9.319354091107505678e-01,5.200000000000000000e+01
6.150000000000000000e+05,1.154343593073435370e+00,1.074880966719631958e+00,9.314228463355425092e-01,5.100000000000000000e+01
6.200000000000000000e+05,1.155443865830515726e+00,1.076010085179633924e+00,9.315041551028764300e-01,5.200000000000000000e+01
6.250000000000000000e+05,1.155443865830515726e+00,1.076010085179633924e+00,9.315041551028764300e-01,5.200000000000000000e+01
6.300000000000000000e+05,1.155443865830515726e+00,1.076010085179633924e+00,9.315041551028764300e-01,5.200000000000000000e+01
6.350000000000000000e+05,1.155443865830515726e+00,1.076010085179633924e+00,9.315041551028764300e-01,5.200000000000000000e+01
6.400000000000000000e+05,1.155443865830515726e+00,1.076010085179633924e+00,9.315041551028764300e-01,5.200000000000000000e+01
6.450000000000000000e+05,1.156200448586263807e+00,1.077026916711918636e+00,9.317605968592747034e-01,5.300000000000000000e+01
6.500000000000000000e+05,1.158075014391842572e+00,1.078376597883730081e+00,9.314119054771602402e-01,5.100000000000000000e+01
6.550000000000000000e+05,1.159107678635926231e+00,1.079333569827275463e+00,9.314036344313301186e-01,5.200000000000000000e+01
6.600000000000000000e+05,1.159107678635926231e+00,1.079333569827275463e+00,9.314036344313301186e-01,5.200000000000000000e+01
